Sub_W,Sub_L,Sub_H,Patch_W,Patch_L,Feed_W,Slot1_W,Slot1_L,Slot2_W,Slot2_L,Freq_GHz,Gain,Directivity,S11(dB),Rad_eff,Total_eff,VSWR
6.5,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,1,-46.467709,126.56028,-2.2428492,0.00017677817,7.10E-05,7.79E+00
6.5,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,2,-35.304424,135.29718,-1.0870704,8.7064123E-18,2.00E-18,16.001216
6.5,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,4,-21.015489,141.20132,-0.16256627,6.0023223E-17,2.00E-18,106.86279
6.5,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,6,47.334428,9.1925234,0.063163784,6519.1424,6.52E-05,1
6.5,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,10,-5.6521078,-0.96106943,-0.017210134,0.33954408,1.62E-03,1009.3909
6.5,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,12,-10.720816,0.041648623,-0.10542551,0.083898368,2.12E-03,164.77958
6.5,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,26,7.0017888,7.5374214,-0.95990656,0.88396839,1.74E-01,18.115784
6.5,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,28,6.7801298,7.8807575,-51.330549,0.77613492,7.75E-01,1.005441
6.5,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,30,6.8045985,7.7769498,-1.4432986,0.79940133,2.28E-01,12.063845
6.5,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,36,5.7648419,6.4548558,-4.4585173,0.85309739,5.35E-01,3.9814906
6.5,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,37,6.1170533,6.78067,-9.1314524,0.85829844,7.50E-01,2.0744827
